id,name,age,free,recommendations,date
362960,Tyranny,0,False,7758,"10 Nov, 2016"
494840,UBOAT,0,False,11218,"30 Apr, 2019"
386940,Ultimate Chicken Horse,0,False,19329,"4 Mar, 2016"
468920,Ultimate Fishing Simulator,0,False,4083,"30 Aug, 2018"
1229490,ULTRAKILL,0,False,16172,"3 Sep, 2020"
801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],0,False,1976,"20 Aug, 2018"
408900,Unfortunate Spacemen,0,True,247,"12 Jun, 2020"
809230,Unity of Command II,0,False,1099,"12 Nov, 2019"
352720,The Universim,0,False,4948,Aug 2018
470220,UNO,0,False,27377,"3 Jan, 2017"
1225570,Unravel Two,0,False,1471,"4 Jun, 2020"
837470,Untitled Goose Game,0,False,7464,"23 Sep, 2020"
304930,Unturned,0,True,7699,"7 Jul, 2017"
658700,V-Rally 4,0,False,190,"25 Sep, 2018"
892970,Valheim,0,False,272677,"2 Feb, 2021"
427290,Vampyr,0,False,11687,"4 Jun, 2018"
242860,Verdun,0,False,26792,"28 Apr, 2015"
42960,Victoria II,0,False,11240,"30 Aug, 2010"
720560,Vigil: The Longest Night,0,False,2100,"14 Oct, 2020"
404590,Vikings - Wolves of Midgard,18,False,2601,"24 Mar, 2017"
1021770,Wanba Warriors,0,False,1665,"25 Mar, 2020"
291480,Warface,16,True,955,"1 Jul, 2014"
230410,Warframe,18,True,2909,"25 Mar, 2013"
222750,Wargame: Airland Battle,0,False,3272,"29 May, 2013"
58610,Wargame: European Escalation,0,False,2188,"22 Feb, 2012"
251060,Wargame: Red Dragon,0,False,11859,"17 Apr, 2014"
774241,Warhammer: Chaosbane,16,False,2288,"31 May, 2019"
235540,Warhammer: End Times - Vermintide,16,False,12249,"23 Oct, 2015"
552500,Warhammer: Vermintide 2,0,False,60552,"8 Mar, 2018"
1295500,"Warhammer 40,000: Battlesector",0,False,1653,"22 Jul, 2021"
527430,"Warhammer 40,000: Inquisitor - Martyr",0,False,11983,"5 Jun, 2018"
1042800,"Warhammer 40,000: Inquisitor - Prophecy",0,False,1684,"30 Jul, 2019"
673880,"Warhammer 40,000: Mechanicus",0,False,6961,"15 Nov, 2018"
489630,"Warhammer 40,000: Gladius - Relics of War",0,False,4137,"12 Jul, 2018"
1233590,Warhammer Age of Sigmar: Storm Ground,0,False,677,"26 May, 2021"
1022310,Warhammer Underworlds: Online,0,False,947,"21 Apr, 2020"
203630,Warlock - Master of the Arcane,0,False,838,"8 May, 2012"
1527950,Wartales,0,False,2151,"1 Dec, 2021"
424030,War of Rights,0,False,6032,"3 Dec, 2018"
236390,War Thunder,0,True,1656,"15 Aug, 2013"
243470,Watch_Dogs™,0,False,28834,"26 May, 2014"
447040,Watch_Dogs® 2,0,False,49127,"28 Nov, 2016"
720250,Welcome to the Game II,18,False,1680,"3 Apr, 2018"
1342620,Werewolf: The Apocalypse — Heart of the Forest,0,False,410,"13 Oct, 2020"
1016790,West of Dead,0,False,451,"18 Jun, 2020"
638000,When Ski Lifts Go Wrong,0,False,432,"23 Jan, 2019"
1158890,White Shadows,0,False,120,"7 Dec, 2021"
763890,Wildermyth,0,False,9542,"15 Jun, 2021"
526160,The Wild Eight,0,False,5380,"3 Oct, 2019"
707010,Will To Live Online,0,True,1878,"5 Apr, 2018"
1162130,Windbound,0,False,595,"28 Aug, 2020"
1264670,The Wind Road 紫塞秋风,0,False,5378,"9 Jul, 2020"
20900,The Witcher: Enhanced Edition Director's Cut,0,False,58810,"16 Sep, 2008"
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0,False,62037,"16 Apr, 2012"
292030,The Witcher® 3: Wild Hunt,0,False,536559,"18 May, 2015"
424370,Wolcen: Lords of Mayhem,0,False,56798,"13 Feb, 2020"
1190400,The Wonderful 101: Remastered,0,False,340,"19 May, 2020"
784150,Workers & Resources: Soviet Republic,0,False,9260,"15 Mar, 2019"
444200,World of Tanks Blitz,0,True,826,"9 Nov, 2016"
552990,World of Warships,0,True,761,"15 Nov, 2017"
699130,World War Z: Aftermath,0,False,3850,"21 Sep, 2021"
217200,Worms Armageddon,0,False,5027,"19 Mar, 2013"
233840,Worms Clan Wars,0,False,1533,"15 Aug, 2013"
22600,Worms Reloaded,0,False,2691,"26 Aug, 2010"
1186040,Worms Rumble,0,False,1014,"1 Dec, 2020"
327030,Worms W.M.D,0,False,5260,"23 Aug, 2016"
1462810,WRC 10 FIA World Rally Championship,0,False,486,"2 Sep, 2021"
621830,WRC 7 FIA World Rally Championship,0,False,2685,"15 Sep, 2017"
1004750,WRC 8 FIA World Rally Championship,0,False,605,"8 Sep, 2020"
1267540,WRC 9 FIA World Rally Championship,0,False,105,"16 Sep, 2021"
228380,Wreckfest,0,False,21545,"14 Jun, 2018"
936720,Wrench,0,False,727,"19 Dec, 2018"
366220,Wurm Unlimited,0,False,1697,"21 Oct, 2015"
921390,武林志（Wushu Chronicles）,0,False,1996,"9 Apr, 2019"
408410,X-Morph: Defense,0,False,1987,"30 Aug, 2017"
201310,X3: Albion Prelude,0,False,1522,"15 Dec, 2011"
2810,X3: Reunion,0,False,419,"21 Jul, 2006"
2820,X3: Terran Conflict,0,False,1746,"16 Oct, 2008"
392160,X4: Foundations,0,False,10165,"30 Nov, 2018"
625340,XERA: Survival,0,True,1929,"26 Sep, 2021"
1154790,XIII,0,False,805,"10 Nov, 2020"
427030,Xuan-Yuan Sword: The Gate of Firmament,0,False,1100,"25 Feb, 2016"
1249800,Xuan-Yuan Sword VII,0,False,7681,"28 Oct, 2020"
2870,X Rebirth,0,False,5037,"15 Nov, 2013"
1115690,"Yes, Your Grace",0,False,5173,"6 Mar, 2020"
298610,Ylands,0,True,3526,"5 Dec, 2019"
334940,Yoku's Island Express,0,False,1885,"29 May, 2018"
360830,Yooka-Laylee,0,False,2234,"11 Apr, 2017"
846870,Yooka-Laylee and the Impossible Lair,0,False,453,"8 Oct, 2019"
587110,Ys: Memories of Celceta,0,False,456,"25 Jul, 2018"
1351630,Ys IX: Monstrum Nox,0,False,853,"6 Jul, 2021"
207350,Ys Origin,0,False,2197,"31 May, 2012"
579180,Ys VIII: Lacrimosa of DANA,0,False,3080,"16 Apr, 2018"
597760,Yuppie Psycho: Executive Edition,0,False,3164,"25 Apr, 2019"
819020,Zanki Zero: Last Beginning,0,False,497,"9 Apr, 2019"
1193340,Zelter,0,False,1304,"22 Oct, 2020"
477740,Zero Escape: The Nonary Games,0,False,3136,"24 Mar, 2017"
1359090,Zero Hour,0,False,16040,"12 Aug, 2020"
1159560,Ziggurat 2,0,False,789,"28 Oct, 2021"
694280,Zombie Army 4: Dead War,0,False,2831,"18 Feb, 2021"
301640,Zombie Army Trilogy,0,False,11188,"6 Mar, 2015"
