ID,NAME,OFFICIAL,TWITTER,FACEBOOK,TWITCH,YOUTUBE
5574,7 Days to Die,http://www.7daystodie.com,https://twitter.com/7DaystoDie,https://www.facebook.com/7DaysToDie,,
27316,A Plague Tale: Innocence,http://aplaguetale.com,https://twitter.com/aplaguetale,https://www.facebook.com/APlagueTale,https://www.twitch.tv/focushomeinteractive,
7211,A Story About My Uncle,http://gonenorthgames.com/games/a-story-about-my-uncle/,,,,
19333,Absolver,http://www.absolvergame.com,https://twitter.com/absolver,,,
16402,Age of Conan: Unchained,http://www.ageofconan.com,https://twitter.com/funcom_conan,https://www.facebook.com/ageofconanhyborianadventures,https://www.twitch.tv/funcom,https://www.youtube.com/user/funcom
5652,Age of Wonders III,http://ageofwonders.com,,,,
102057,Age of Wonders: Planetfall,https://www.aow-planetfall.com/,https://twitter.com/APlanetfall,https://www.facebook.com/AoWPlanetfall,,https://www.youtube.com/channel/UC1JOnWZrVWKzX3UMdpnvuMg
131622,Ageless,,,,,
104971,AI: The Somnium Files,http://spike-chunsoft.com/ai/,,,,
19841,Aion: Ascension,,,,,
19698,Albion Online,https://albiononline.com/,https://twitter.com/albiononline/,https://www.facebook.com/albiononline/,https://www.twitch.tv/albiononline,https://www.youtube.com/albiononlineofficial
127939,Amazing Cultivation Simulator,,,,,
9667,American Truck Simulator,http://americantrucksimulator.com/,https://twitter.com/SCSsoftware,https://www.facebook.com/americantrucksimulator.scs,,https://www.youtube.com/user/scssoftware
1882,Amnesia: A Machine for Pigs,http://www.aamfp.com,https://twitter.com/frictionalgames,https://www.facebook.com/frictionalgames,,https://www.youtube.com/user/frictionalgames
131785,Amnesia: Rebirth,,https://twitter.com/frictionalgames,,,
111,Amnesia: The Dark Descent,http://www.amnesiagame.com,,,,
8228,Anno 2070: Deep Ocean,,,,,
114795,Apex Legends,https://www.ea.com/games/apex-legends,https://twitter.com/PlayApex,https://www.facebook.com/playapex,https://www.twitch.tv/playapex,https://www.youtube.com/channel/UC0ZV6M2THA81QT9hrVWJG3A
126347,Araha : Curse of Yieun Island,http://www.playaraha.com,,,,
122563,Arise: A Simple Story,https://arise-game.com/,https://twitter.com/piccolo_studio,https://www.facebook.com/TechlandGames,,
10239,ARK: Survival Evolved,http://www.playark.com,https://twitter.com/survivetheark,https://www.facebook.com/survivetheark,https://www.twitch.tv/survivetheark,https://www.youtube.com/c/Survivetheark
24412,ARK: Survival Of The Fittest,http://www.playark.com,,,,
601,ArmA 2: Operation Arrowhead,http://www.arma2.com,https://twitter.com/bohemiainteract,https://www.facebook.com/ARMA2Official,,https://www.youtube.com/user/ARMA2official
1881,Arma 3,http://www.arma3.com,https://twitter.com/arma3official,,,https://www.youtube.com/user/Arma3official
11260,Armello,http://www.armello.com,https://twitter.com/armellogame,,,
15853,Armored Warfare,https://aw.my.com/,https://twitter.com/ArmoredWar,https://www.facebook.com/ArmoredWarfare,https://www.twitch.tv/officialarmoredwarfare,https://www.youtube.com/user/ArmoredWarfareGame
54572,Artifact,http://playartifact.com/,https://twitter.com/playartifact,,,https://www.youtube.com/channel/UCGNR4V-cCifhwtrojT2geYA
52431,Assassin's Creed IV: Black Flag - Gold Edition,,,,,
